tick,q1,q2,q3,q4,yaw,pitch,roll,axR,ayR,azR,axW,ayW,azW,temp,Head1,Head2
9871857,0.98,0.01,0.03,0.21,-24.44,-3.62,1.46,11,-13,-63,11,-7,-63,35,4,244
9871884,0.98,0.01,0.03,0.21,-24.44,-3.62,1.46,12,-11,-64,11,-5,-64,35,4,245
9871912,0.98,0.01,0.03,0.21,-24.44,-3.62,1.46,12,-10,-64,10,-4,-64,35,4,245
9871940,0.98,0.01,0.03,0.21,-24.44,-3.61,1.45,14,-6,-61,11,0,-61,35,4,245
9871967,0.98,0.01,0.03,0.21,-24.44,-3.61,1.45,11,-10,-60,10,-4,-60,35,4,244
9872005,0.98,0.01,0.03,0.21,-24.43,-3.57,1.44,11,-9,-75,8,-3,-75,35,4,245
9872027,0.98,0.01,0.03,0.21,-24.43,-3.57,1.44,7,-5,-77,3,-1,-77,35,4,245
9872054,0.98,0.01,0.03,0.21,-24.43,-3.56,1.44,5,-4,-72,1,-1,-72,36,4,245
9872081,0.98,0.01,0.03,0.21,-24.43,-3.56,1.44,9,-7,-64,6,-2,-64,35,4,245
9872108,0.98,0.01,0.03,0.21,-24.43,-3.56,1.44,11,-4,-68,7,0,-68,36,4,245
