tick,q1,q2,q3,q4,yaw,pitch,roll,axR,ayR,azR,axW,ayW,azW,temp,Head1,Head2
59343,0.99,0.00,-0.10,0.04,-4.13,10.92,-0.32,34,-33,87,19,-31,92,35,2,128
59353,0.99,0.00,-0.10,0.04,-4.15,10.91,-0.32,32,-54,48,26,-51,53,35,2,128
59363,0.99,0.00,-0.09,0.04,-4.16,10.89,-0.33,40,-55,-3,43,-51,4,35,2,128
59373,0.99,0.00,-0.09,0.04,-4.17,10.89,-0.34,57,-56,-54,70,-51,-41,35,2,128
59383,0.99,0.00,-0.09,0.04,-4.19,10.87,-0.36,65,-54,-111,88,-48,-96,35,2,128
59393,0.99,0.00,-0.09,0.04,-4.20,10.86,-0.37,77,-39,-173,110,-32,-155,35,2,128
59403,0.99,0.00,-0.09,0.04,-4.21,10.83,-0.37,91,-4,-223,131,4,-201,35,2,129
59413,0.99,0.00,-0.09,0.04,-4.22,10.79,-0.37,116,41,-256,158,51,-229,35,2,129
59423,0.99,0.00,-0.09,0.04,-4.24,10.76,-0.36,166,93,-261,204,106,-225,35,2,129
59433,0.99,0.00,-0.09,0.04,-4.26,10.72,-0.36,250,144,-273,285,163,-222,35,2,130
59444,0.99,0.00,-0.09,0.04,-4.30,10.69,-0.36,355,204,-277,384,231,-207,35,2,130
59454,0.99,0.00,-0.09,0.04,-4.35,10.67,-0.38,512,287,-263,528,326,-165,35,2,131
59464,0.99,0.00,-0.09,0.04,-4.43,10.68,-0.39,723,286,-247,732,341,-110,35,2,131
59474,0.99,0.00,-0.09,0.04,-4.53,10.72,-0.39,1056,358,-196,1042,440,1,35,2,132
59484,0.99,0.00,-0.09,0.04,-4.70,10.82,-0.43,1462,560,-129,1410,676,143,35,2,132
59494,0.99,-0.00,-0.10,0.04,-4.87,10.98,-0.54,1896,827,-44,1793,982,309,35,2,133
59504,0.99,-0.00,-0.10,0.04,-5.06,11.18,-0.65,2290,1061,127,2121,1255,556,35,2,133
59514,0.99,-0.00,-0.10,0.05,-5.33,11.36,-0.74,2639,1250,327,2397,1485,824,35,2,133
59524,0.99,-0.00,-0.10,0.05,-5.66,11.59,-0.77,3012,1368,603,2682,1650,1177,35,2,134
59534,0.99,-0.00,-0.10,0.05,-6.10,11.92,-0.83,3319,1331,887,2906,1664,1533,35,2,134
59544,0.99,-0.00,-0.11,0.06,-6.66,12.41,-0.97,3589,1174,1086,3114,1567,1811,35,2,134
59555,0.99,-0.00,-0.11,0.06,-7.34,12.97,-1.20,3704,992,1046,3219,1442,1829,35,2,134
59565,0.99,-0.00,-0.12,0.07,-8.05,13.56,-1.48,3762,803,888,3301,1309,1723,35,2,135
59575,0.99,-0.01,-0.12,0.07,-8.70,14.19,-1.85,3894,368,657,3512,944,1579,35,2,135
59585,0.99,-0.01,-0.13,0.08,-9.36,14.77,-2.31,3894,-11,359,3620,619,1340,35,2,136
59595,0.99,-0.01,-0.13,0.09,-9.98,15.31,-2.88,3852,-449,144,3690,229,1178,35,2,136
59605,0.99,-0.02,-0.14,0.09,-10.59,15.78,-3.50,3718,-931,126,3639,-219,1188,35,2,137
59615,0.98,-0.02,-0.14,0.10,-11.21,16.19,-4.16,3494,-1430,284,3466,-700,1349,35,2,137
59625,0.98,-0.03,-0.15,0.10,-11.82,16.64,-4.81,3200,-1996,505,3230,-1262,1565,35,2,138
59635,0.98,-0.03,-0.15,0.11,-12.37,17.04,-5.36,2851,-2455,682,2942,-1739,1713,35,2,138
59646,0.98,-0.03,-0.16,0.11,-12.79,17.36,-5.84,2465,-2850,807,2628,-2174,1791,35,2,137
59656,0.98,-0.04,-0.16,0.12,-13.08,17.62,-6.29,2089,-3188,892,2326,-2564,1826,35,2,137
59666,0.98,-0.04,-0.16,0.12,-13.26,17.87,-6.72,1690,-3431,918,1999,-2876,1787,35,2,136
59676,0.98,-0.04,-0.16,0.12,-13.32,18.07,-7.20,1228,-3586,886,1613,-3126,1665,35,2,135
59686,0.98,-0.05,-0.17,0.12,-13.32,18.19,-7.72,617,-3728,811,1102,-3405,1456,35,2,134
59696,0.98,-0.05,-0.17,0.12,-13.27,18.25,-8.26,100,-3649,753,624,-3450,1262,35,2,133
59706,0.98,-0.06,-0.17,0.12,-13.08,18.23,-8.80,-462,-3526,702,88,-3466,1053,35,2,133
59716,0.98,-0.06,-0.17,0.12,-12.74,18.16,-9.36,-967,-3410,633,-395,-3477,845,35,2,132
59726,0.98,-0.07,-0.17,0.11,-12.34,18.08,-10.03,-1550,-3369,424,-891,-3589,501,35,2,132
59736,0.98,-0.08,-0.17,0.11,-11.87,18.00,-10.85,-2130,-3290,228,-1400,-3663,173,35,2,132
59746,0.98,-0.09,-0.17,0.11,-11.29,17.86,-11.84,-2722,-3147,68,-1951,-3673,-126,35,2,133
59757,0.98,-0.10,-0.17,0.10,-10.58,17.61,-12.94,-3299,-2962,-16,-2529,-3624,-349,35,2,133
59767,0.98,-0.11,-0.16,0.10,-9.79,17.23,-14.06,-3888,-2745,-37,-3152,-3527,-519,35,2,134
59777,0.98,-0.12,-0.16,0.09,-8.94,16.79,-15.07,-4393,-2575,-4,-3712,-3432,-603,35,2,135
59787,0.98,-0.13,-0.16,0.09,-8.08,16.29,-15.88,-4855,-2392,92,-4258,-3283,-622,35,2,136
59797,0.98,-0.13,-0.15,0.08,-7.17,15.74,-16.49,-5231,-2212,230,-4736,-3087,-579,35,2,137
59807,0.98,-0.14,-0.14,0.07,-6.27,15.17,-16.94,-5537,-2054,345,-5136,-2885,-533,35,2,138
59817,0.98,-0.14,-0.14,0.07,-5.34,14.60,-17.24,-5764,-1878,446,-5454,-2636,-485,35,2,139
59827,0.98,-0.15,-0.13,0.06,-4.38,14.02,-17.45,-5895,-1651,531,-5675,-2313,-442,35,2,140
59837,0.98,-0.15,-0.13,0.05,-3.42,13.44,-17.59,-5992,-1437,595,-5846,-1993,-408,35,2,140
59847,0.98,-0.15,-0.12,0.04,-2.43,12.89,-17.64,-6042,-1132,727,-5982,-1551,-330,35,2,140
59858,0.98,-0.15,-0.11,0.03,-1.43,12.38,-17.53,-6026,-897,913,-6049,-1149,-173,35,2,141
59868,0.98,-0.15,-0.11,0.02,-0.46,11.95,-17.19,-5931,-739,1062,-6013,-828,-19,35,2,141
59878,0.98,-0.14,-0.10,0.01,0.48,11.63,-16.63,-5841,-542,1092,-5944,-514,0,35,2,142
59888,0.99,-0.14,-0.10,0.00,1.41,11.36,-15.97,-5742,-182,1065,-5841,-65,-79,35,2,142
59898,0.99,-0.13,-0.10,-0.01,2.33,11.15,-15.33,-5594,281,1022,-5670,474,-190,35,2,143
59908,0.99,-0.13,-0.09,-0.02,3.22,11.00,-14.74,-5425,769,921,-5451,1014,-357,35,2,143
59919,0.99,-0.13,-0.09,-0.02,4.06,10.89,-14.23,-5233,1286,743,-5179,1551,-598,35,2,144
59929,0.99,-0.12,-0.09,-0.03,4.85,10.80,-13.86,-5004,1715,507,-4856,1976,-865,35,2,144
59939,0.99,-0.12,-0.09,-0.04,5.58,10.74,-13.63,-4768,1992,236,-4526,2232,-1132,35,2,145
59949,0.99,-0.12,-0.09,-0.04,6.27,10.67,-13.51,-4555,2220,-47,-4219,2427,-1406,35,2,145
